阿鼻地狱 a.bi.di.yu
阿狗阿猫 a.gou.a.mao
阿姑阿翁 a.gu.a.weng
阿家阿翁 a.jia.a.weng
阿娇金屋 a.jiao.jin.wu
阿猫阿狗 a.mao.a.gou
哀哀父母 ai.ai.fu.mu
哀哀欲绝 ai.ai.yu.jue
爱别离苦 ai.bie.li.ku
哀兵必胜 ai.bing.bi.sheng
爱博而情不专 ai.bo.er.qing.bu.zhuan
爱不忍释 ai.bu.ren.shi
爱不释手 ai.bu.shi.shou
爱才如渴 ai.cai.ru.ke
爱财如命 ai.cai.ru.ming
爱才如命 ai.cai.ru.ming
爱才若渴 ai.cai.ruo.ke
挨冻受饿 ai.dong.shou.e
哀而不伤 ai.er.bu.shang
挨风缉缝 ai.feng.ji.feng
捱风缉缝 ai.feng.ji.feng
爱富嫌贫 ai.fu.xian.pin
哀感天地 ai.gan.tian.di
哀感顽艳 ai.gan.wan.yan
哀感中年 ai.gan.zhong.nian
哀告宾服 ai.gao.bin.fu
爱国如家 ai.guo.ru.jia
爱鹤失众 ai.he.shi.zhong
哀鸿遍地 ai.hong.bian.di
哀鸿遍野 ai.hong.bian.ye
哀毁骨立 ai.hui.gu.li
哀毁瘠立 ai.hui.ji.li
挨家挨户 ai.jia.ai.hu
挨肩并足 ai.jian.bing.zu
挨肩擦膀 ai.jian.ca.bang
挨肩擦背 ai.jian.ca.bei
挨肩擦脸 ai.jian.ca.lian
挨肩搭背 ai.jian.da.bei
挨肩叠背 ai.jian.die.bei
碍口识羞 ai.kou.shi.xiu
爱礼存羊 ai.li.cun.yang
哀梨蒸食 ai.li.zheng.shi
爱毛反裘 ai.mao.fan.qiu
暧昧不明 ai.mei.bu.ming
暧昧之情 ai.mei.zhi.qing
挨门逐户 ai.men.zhu.hu
爱民如子 ai.min.ru.zi
哀莫大于心死 ai.mo.da.yu.xin.si
爱莫能助 ai.mo.neng.zhu
爱莫之助 ai.mo.zhi.zhu
碍难从命 ai.nan.cong.ming
騃女痴儿 ai.nv.chi.er
騃女痴男 ai.nv.chi.nan
爱钱如命 ai.qian.ru.ming
蔼然可亲 ai.ran.ke.qin
蔼然仁者 ai.ran.ren.zhe
矮人观场 ai.ren.guan.chang
爱人好士 ai.ren.hao.shi
矮人看场 ai.ren.kan.chang
矮人看戏 ai.ren.kan.xi
爱人利物 ai.ren.li.wu
爱人以德 ai.ren.yi.de
爱日惜力 ai.ri.xi.li
爱如己出 ai.ru.ji.chu
爱如珍宝 ai.ru.zhen.bao
捱三顶四 ai.san.ding.si
挨三顶五 ai.san.ding.wu
捱三顶五 ai.san.ding.wu
挨山塞海 ai.shan.sai.hai
哀声叹气 ai.sheng.tan.qi
唉声叹气 ai.sheng.tan.qi
爱生恶死 ai.sheng.wu.si
碍手碍脚 ai.shou.ai.jiao
哀丝豪竹 ai.si.hao.zhu
哀思如潮 ai.si.ru.chao
爱素好古 ai.su.hao.gu
哀天叫地 ai.tian.jiao.di
騃童钝夫 ai.tong.dun.fu
哀痛欲绝 ai.tong.yu.jue
爱屋及乌 ai.wu.ji.wu
爱惜羽毛 ai.xi.yu.mao
爱则加诸膝 ai.ze.jia.zhu.xi
爱则加诸膝恶则坠诸渊 ai.ze.jia.zhu.xi.e.ze.zhui.zhu.yuan
爱憎分明 ai.zeng.fen.ming
爱之欲其生 ai.zhi.yu.qi.sheng
爱之欲其生恶之欲其死 ai.zhi.yu.qi.sheng.e.zhi.yu.qi.si
矮子观场 ai.zi.guan.chang
矮子看戏 ai.zi.kan.xi
安安稳稳 an.an.wen.wen
安邦定国 an.bang.ding.guo
安邦治国 an.bang.zhi.guo
按兵不动 an.bing.bu.dong
按兵束甲 an.bing.shu.jia
案兵束甲 an.bing.shu.jia
安步当车 an.bu.dang.che
按部就班 an.bu.jiu.ban
按步就班 an.bu.jiu.ban
鞍不离马 an.bu.li.ma
鞍不离马背 an.bu.li.ma.bei
鞍不离马背甲不离将身 an.bu.li.ma.bei.jia.bu.li.jiang.shen
鞍不离马甲不离身 an.bu.li.ma.jia.bu.li.shen
安不忘危 an.bu.wang.wei
安常处顺 an.chang.chu.shun
安常履顺 an.chang.lv.shun
安常守分 an.chang.shou.fen
安常守故 an.chang.shou.gu
安常习故 an.chang.xi.gu
安车蒲轮 an.che.pu.lun
暗锤打人 an.chui.da.ren
黯淡无光 an.dan.wu.guang
暗淡无光 an.dan.wu.guang
暗斗明争 an.dou.ming.zheng
暗度陈仓 an.du.chen.cang
暗渡陈仓 an.du.chen.cang
案牍劳形 an.du.lao.xing
安堵乐业 an.du.le.ye
安堵如故 an.du.ru.gu
案牍之劳 an.du.zhi.lao
安份守己 an.fen.shou.ji
安分守己 an.fen.shou.ji
安分知足 an.fen.zhi.zu
安富恤贫 an.fu.xu.pin
安富恤穷 an.fu.xu.qiong
安富尊荣 an.fu.zun.rong
岸谷之变 an.gu.zhi.bian
安故重迁 an.gu.zhong.qian
安国富民 an.guo.fu.min
安国宁家 an.guo.ning.jia
黯晦消沉 an.hui.xiao.chen
安魂定魄 an.hun.ding.po
安家乐业 an.jia.le.ye
安家立业 an.jia.li.ye
安家落户 an.jia.luo.hu
按甲寝兵 an.jia.qin.bing
按甲休兵 an.jia.xiu.bing
案甲休兵 an.jia.xiu.bing
案剑瞋目 an.jian.chen.mu
暗箭难防 an.jian.nan.fang
暗箭伤人 an.jian.shang.ren
暗箭中人 an.jian.zhong.ren
安居乐业 an.ju.le.ye
安老怀少 an.lao.huai.shao
安乐窝 an.le.wo
安良除暴 an.liang.chu.bao
暗绿稀红 an.lv.xi.hong
鞍马劳顿 an.ma.lao.dun
鞍马劳倦 an.ma.lao.juan
鞍马劳困 an.ma.lao.kun
鞍马之劳 an.ma.zhi.lao
安眉带眼 an.mei.dai.yan
暗昧之事 an.mei.zhi.shi
安民告示 an.min.gao.shi
按名责实 an.ming.ze.shi
按捺不住 an.na.bu.zhu
安内攘外 an.nei.rang.wai
按辔徐行 an.pei.xu.xing
安贫乐道 an.pin.le.dao
安贫乐贱 an.pin.le.jian
安贫守道 an.pin.shou.dao
暗气暗恼 an.qi.an.nao
鞍前马后 an.qian.ma.hou
岸然道貌 an.ran.dao.mao
安然如故 an.ran.ru.gu
黯然伤神 an.ran.shang.shen
黯然神伤 an.ran.shen.shang
黯然失色 an.ran.shi.se
黯然无色 an.ran.wu.se
安然无事 an.ran.wu.shi
安然无恙 an.ran.wu.yang
黯然销魂 an.ran.xiao.hun
安忍无亲 an.ren.wu.qin
安如磐石 an.ru.pan.shi
安如泰山 an.ru.tai.shan
暗弱无断 an.ruo.wu.duan
安神定魄 an.shen.ding.po
安身乐业 an.shen.le.ye
安身立命 an.shen.li.ming
安身为乐 an.shen.wei.le
安身之处 an.shen.zhi.chu
安身之地 an.shen.zhi.di
安生服业 an.sheng.fu.ye
安生乐业 an.sheng.le.ye
暗室不欺 an.shi.bu.qi
安时处顺 an.shi.chu.shun
暗室逢灯 an.shi.feng.deng
暗室亏心 an.shi.kui.xin
安室利处 an.shi.li.chu
暗室欺心 an.shi.qi.xin
暗室求物 an.shi.qiu.wu
安适如常 an.shi.ru.chang
暗室屋漏 an.shi.wu.lou
暗送秋波 an.song.qiu.bo
安土乐业 an.tu.le.ye
按图索骥 an.tu.suo.ji
按图索骏 an.tu.suo.jun
安土重旧 an.tu.zhong.jiu
安土重居 an.tu.zhong.ju
安土重迁 an.tu.zhong.qian
安危相易 an.wei.xiang.yi
安危与共 an.wei.yu.gong
案无留牍 an.wu.liu.du
暗无天日 an.wu.tian.ri
安闲自得 an.xian.zi.de
安闲自在 an.xian.zi.zai
暗香疏影 an.xiang.shu.ying
安心定志 an.xin.ding.zhi
安心乐业 an.xin.le.ye
安心乐意 an.xin.le.yi
按行自抑 an.xing.zi.yi
安营下寨 an.ying.xia.zhai
安营扎寨 an.ying.zha.zhai
安于故俗 an.yu.gu.su
安于故俗溺于旧闻 an.yu.gu.su.ni.yu.jiu.wen
安于现状 an.yu.xian.zhuang
安于一隅 an.yu.yi.yu
安宅正路 an.zhai.zheng.lu
安枕而卧 an.zhen.er.wo
安之若命 an.zhi.ruo.ming
安之若素 an.zhi.ruo.su
暗中摸索 an.zhong.mo.suo
安坐待毙 an.zuo.dai.bi
昂昂自若 ang.ang.zi.ruo
昂藏七尺 ang.cang.qi.chi
昂然直入 ang.ran.zhi.ru
昂然自得 ang.ran.zi.de
昂然自若 ang.ran.zi.ruo
昂首阔步 ang.shou.kuo.bu
昂首伸眉 ang.shou.shen.mei
昂首天外 ang.shou.tian.wai
昂首挺胸 ang.shou.ting.xiong
昂首望天 ang.shou.wang.tian
卬首信眉 ang.shou.xin.mei
卬头阔步 ang.tou.kuo.bu
昂头阔步 ang.tou.kuo.bu
昂头天外 ang.tou.tian.wai
昂头挺胸 ang.tou.ting.xiong
昂霄耸壑 ang.xiao.song.he
盎盂相击 ang.yu.xiang.ji
盎盂相敲 ang.yu.xiang.qiao
嗷嗷待哺 ao.ao.dai.bu
敖不可长 ao.bu.ke.chang
傲不可长 ao.bu.ke.zhang
熬肠刮肚 ao.chang.gua.du
熬更守夜 ao.geng.shou.ye
傲骨嶙嶙 ao.gu.lin.lin
懊悔无及 ao.hui.wu.ji
熬姜呷醋 ao.jiang.xia.cu
熬枯受淡 ao.ku.shou.dan
鳌里夺尊 ao.li.duo.zun
傲慢不逊 ao.man.bu.xun
傲慢少礼 ao.man.shao.li
傲慢无礼 ao.man.wu.li
奥妙无穷 ao.miao.wu.qiong
傲睨得志 ao.ni.de.zhi
傲睨万物 ao.ni.wan.wu
傲睨一切 ao.ni.yi.qie
傲睨一世 ao.ni.yi.shi
傲睨自若 ao.ni.zi.ruo
熬清受淡 ao.qing.shou.dan
熬清守淡 ao.qing.shou.dan
傲然屹立 ao.ran.yi.li
傲世轻物 ao.shi.qing.wu
傲霜斗雪 ao.shuang.dou.xue
傲头傲脑 ao.tou.ao.nao
鳌头独占 ao.tou.du.zhan
傲贤慢士 ao.xian.man.shi
熬心费力 ao.xin.fei.li
傲雪凌霜 ao.xue.ling.shuang
傲雪欺霜 ao.xue.qi.shuang
聱牙戟口 ao.ya.ji.kou
聱牙诘屈 ao.ya.ji.qu
聱牙诘曲 ao.ya.ji.qu
聱牙佶屈 ao.ya.ji.qu
謷牙诘屈 ao.ya.ji.qu
熬油费火 ao.you.fei.huo
奥援有灵 ao.yuan.you.ling
鳌掷鲸吞 ao.zhi.jing.tun
巴巴急急 ba.ba.ji.ji
巴巴劫劫 ba.ba.jie.jie
巴巴结结 ba.ba.jie.jie
八百孤寒 ba.bai.gu.han
八拜之交 ba.bai.zhi.jiao
拔本塞原 ba.ben.sai.yuan
拔本塞源 ba.ben.sai.yuan
把臂入林 ba.bi.ru.lin
把持不定 ba.chi.bu.ding
罢黜百家 ba.chu.bai.jia
八窗玲珑 ba.chuang.ling.long
拔丛出类 ba.cong.chu.lei
拔萃出类 ba.cui.chu.lei
拔萃出群 ba.cui.chu.qun
霸道横行 ba.dao.heng.xing
拔刀相向 ba.dao.xiang.xiang
拔刀相助 ba.dao.xiang.zhu
拔地摇山 ba.di.yao.shan
拔地倚天 ba.di.yi.tian
拔丁抽楔 ba.ding.chou.xie
八斗之才 ba.dou.zhi.cai
把饭叫饥 ba.fan.jiao.ji
八方风雨 ba.fang.feng.yu
八方呼应 ba.fang.hu.ying
八方支援 ba.fang.zhi.yuan
扒高踩低 ba.gao.cai.di
巴高望上 ba.gao.wang.shang
八公山上 ba.gong.shan.shang
八公山上草木皆兵 ba.gong.shan.shang.cao.mu.jie.bing
拔锅卷席 ba.guo.juan.xi
八纮同轨 ba.hong.tong.gui
跋胡疐尾 ba.hu.di.wei
跋扈飞扬 ba.hu.fei.yang
跋扈恣睢 ba.hu.zi.sui
跋扈自恣 ba.hu.zi.zi
八荒之外 ba.huang.zhi.wai
拔剑论功 ba.jian.lun.gong
八街九陌 ba.jie.jiu.mo
八九不离十 ba.jiu.bu.li.shi
把酒持螯 ba.jiu.chi.ao
拔葵啖枣 ba.kui.dan.zao
拔葵去织 ba.kui.qu.zhi
跋来报往 ba.lai.bao.wang
拔来报往 ba.lai.bao.wang
拔了萝卜地皮宽 ba.le.luo.bo.di.pi.kuan
拔类超群 ba.lei.chao.qun
霸陵醉尉 ba.ling.zui.wei
跋履山川 ba.lv.shan.chuan
拔毛济世 ba.mao.ji.shi
拔茅连茹 ba.mao.lian.ru
八面见光 ba.mian.jian.guang
八面玲珑 ba.mian.ling.long
八面驶风 ba.mian.shi.feng
八面受敌 ba.mian.shou.di
八面威风 ba.mian.wei.feng
八面莹澈 ba.mian.ying.che
八面圆通 ba.mian.yuan.tong
八面张罗 ba.mian.zhang.luo
拔苗助长 ba.miao.zhu.zhang
八难三灾 ba.nan.san.zai
跋前疐后 ba.qian.di.hou
跋前踕后 ba.qian.jie.hou
巴前算后 ba.qian.suan.hou
跋前踬后 ba.qian.zhi.hou
拔群出萃 ba.qun.chu.cui
巴人下里 ba.ren.xia.li
巴三览四 ba.san.lan.si
拔山超海 ba.shan.chao.hai
巴山度岭 ba.shan.duo.ling
拔山盖世 ba.shan.gai.shi
拔山扛鼎 ba.shan.gang.ding
拔山举鼎 ba.shan.ju.ding
跋山涉川 ba.shan.she.chuan
跋山涉水 ba.shan.she.shui
巴山蜀水 ba.shan.shu.shui
巴山夜雨 ba.shan.ye.yu
巴山越岭 ba.shan.yue.ling
跋涉山川 ba.she.shan.chuan
拔十得五 ba.shi.de.wu
拔十失五 ba.shi.shi.wu
拔树搜根 ba.shu.sou.gen
拔树寻根 ba.shu.xun.gen
把素持斋 ba.su.chi.zhai
巴头探脑 ba.tou.tan.nao
八万四千 ba.wan.si.qian
把玩无厌 ba.wan.wu.yan
霸王别姬 ba.wang.bie.ji
霸王风月 ba.wang.feng.yue
拔犀擢象 ba.xi.zhuo.xiang
拔辖投井 ba.xia.tou.jing
八仙过海 ba.xian.guo.hai
八仙过海各显其能 ba.xian.guo.hai.ge.xian.qi.neng
八仙过海各显神通 ba.xian.guo.hai.ge.xian.shen.tong
拔新领异 ba.xin.ling.yi
把薪助火 ba.xin.zhu.huo
八音迭奏 ba.yin.die.zou
八音遏密 ba.yin.e.mi
拔宅飞升 ba.zhai.fei.sheng
拔宅上升 ba.zhai.shang.sheng
拔赵易汉 ba.zhao.yi.han
拔赵帜立赤帜 ba.zhao.zhi.li.chi.zhi
拔赵帜易汉帜 ba.zhao.zhi.yi.han.zhi
八珍玉食 ba.zhen.yu.shi
拔帜树帜 ba.zhi.shu.zhi
拔帜易帜 ba.zhi.yi.zhi
八字打开 ba.zi.da.kai
八字没见一撇 ba.zi.mei.jian.yi.pie
八字没一撇 ba.zi.mei.yi.pie
白白朱朱 bai.bai.zhu.zhu
百般刁难 bai.ban.diao.nan
百般奉承 bai.ban.feng.cheng
百弊丛生 bai.bi.cong.sheng
白璧青蝇 bai.bi.qing.ying
白璧微瑕 bai.bi.wei.xia
白璧无瑕 bai.bi.wu.xia
百步穿杨 bai.bu.chuan.yang
百不当一 bai.bu.dang.yi
百不获一 bai.bu.huo.yi
败不馁 bai.bu.nei
百不失一 bai.bu.shi.yi
百不随一 bai.bu.sui.yi
败不旋踵 bai.bu.xuan.zhong
百不一存 bai.bu.yi.cun
败材伤锦 bai.cai.shang.jin
白草黄云 bai.cao.huang.yun
百尺竿头 bai.chi.gan.tou
百尺竿头更进一步 bai.chi.gan.tou.geng.jin.yi.bu
百川归海 bai.chuan.gui.hai
百辞莫辩 bai.ci.mo.bian
拜赐之师 bai.ci.zhi.shi
百代过客 bai.dai.guo.ke
百代文宗 bai.dai.wen.zong
拜倒辕门 bai.dao.yuan.men
白刀子进 bai.dao.zi.jin
白刀子进红刀子出 bai.dao.zi.jin.hong.dao.zi.chu
败德辱行 bai.de.ru.xing
白丁俗客 bai.ding.su.ke
百读不厌 bai.du.bu.yan
百堵皆作 bai.du.jie.zuo
百端待举 bai.duan.dai.ju
拜恩私室 bai.en.si.shi
百二河山 bai.er.he.shan
百二山河 bai.er.shan.he
百发百中 bai.fa.bai.zhong
白发苍苍 bai.fa.cang.cang
白发苍颜 bai.fa.cang.yan
白发丹心 bai.fa.dan.xin
白发红颜 bai.fa.hong.yan
败法乱纪 bai.fa.luan.ji
白发千丈 bai.fa.qian.zhang
白发青衫 bai.fa.qing.shan
白发朱颜 bai.fa.zhu.yan
白饭青刍 bai.fan.qing.chu
百废待举 bai.fei.dai.ju
百废待兴 bai.fei.dai.xing
百废俱兴 bai.fei.ju.xing
百夫决拾 bai.fu.jue.shi
百感交集 bai.gan.jiao.ji
白骨露野 bai.gu.lu.ye
白骨再肉 bai.gu.zai.rou
败鼓之皮 bai.gu.zhi.pi
稗官野史 bai.guan.ye.shi
拜鬼求神 bai.gui.qiu.shen
白圭之玷 bai.gui.zhi.dian
败国丧家 bai.guo.sang.jia
败国亡家 bai.guo.wang.jia
捭阖纵横 bai.he.zong.heng
白黑不分 bai.hei.bu.fen
白黑颠倒 bai.hei.dian.dao
白黑分明 bai.hei.fen.ming
白虹贯日 bai.hong.guan.ri
百花齐放 bai.hua.qi.fang
百花齐放百家争鸣 bai.hua.qi.fang.bai.jia.zheng.ming
败化伤风 bai.hua.shang.feng
百花生日 bai.hua.sheng.ri
百花争艳 bai.hua.zheng.yan
百花争妍 bai.hua.zheng.yan
白华之怨 bai.hua.zhi.yuan
百卉千葩 bai.hui.qian.pa
百计千方 bai.ji.qian.fang
败绩失据 bai.ji.shi.ju
百家争鸣 bai.jia.zheng.ming
拜将封侯 bai.jiang.feng.hou
败井颓垣 bai.jing.tui.yuan
百举百全 bai.ju.bai.quan
白驹过隙 bai.ju.guo.xi
白驹空谷 bai.ju.kong.gu
败军之将 bai.jun.zhi.jiang
百孔千疮 bai.kong.qian.chuang
百口莫辩 bai.kou.mo.bian
白蜡明经 bai.la.ming.jing
白浪掀天 bai.lang.xian.tian
百里不同俗 bai.li.bu.tong.su
百里挑一 bai.li.tiao.yi
百里之才 bai.li.zhi.cai
百炼成钢 bai.lian.cheng.gang
百了千当 bai.liao.qian.dang
败鳞残甲 bai.lin.can.jia
百伶百俐 bai.ling.bai.li
百龄眉寿 bai.ling.mei.shou
败柳残花 bai.liu.can.hua
白龙鱼服 bai.long.yu.fu
白旄黄钺 bai.mao.huang.yue
白眉赤眼 bai.mei.chi.yan
百媚千娇 bai.mei.qian.jiao
白面书生 bai.mian.shu.sheng
百年不遇 bai.nian.bu.yu
百年大计 bai.nian.da.ji
百念皆灰 bai.nian.jie.hui
百年难遇 bai.nian.nan.yu
百年树人 bai.nian.shu.ren
百年偕老 bai.nian.xie.lao
百年之柄 bai.nian.zhi.bing
百年之好 bai.nian.zhi.hao
百年之后 bai.nian.zhi.hou
百鸟朝凤 bai.niao.chao.feng
百巧千穷 bai.qiao.qian.qiong
百犬吠声 bai.quan.fei.sheng
白日见鬼 bai.ri.jian.gui
白日升天 bai.ri.sheng.tian
白日绣衣 bai.ri.xiu.yi
白日衣绣 bai.ri.yi.xiu
白日做梦 bai.ri.zuo.meng
白色恐怖 bai.se.kong.bu
白沙在涅 bai.sha.zai.nie
白沙在涅与之俱黑 bai.sha.zai.nie.yu.zhi.ju.hei
白山黑水 bai.shan.hei.shui
百舍重茧 bai.she.chong.jian
百舌之声 bai.she.zhi.sheng
百身何赎 bai.shen.he.shu
百身莫赎 bai.shen.mo.shu
百世不磨 bai.shi.bu.mo
百世师 bai.shi.shi
败事有余 bai.shi.you.yu
败事有余成事不足 bai.shi.you.yu.cheng.shi.bu.zu
